MONTHYEAR,PLAN_NAME,Customer,REGION,PRODUCT,NET REVENUE,Gross Revenue,Discount percentage ,
2021-08-01,SMALL BUSINESS,Cust10210,NA,PD1,99.75,139,28%,2021
2021-06-01,SMALL BUSINESS,Cust10227,INDIA,PD1,30,30,0%,2021
2022-01-01,Medium Business,Cust10227,INDIA,PD1,295,383,23%,2022
2021-02-01,LARGE BUSINESS,Cust10230,APJ,PD1,98,98,0%,2021
2021-02-01,LARGE BUSINESS,Cust10230,APJ,PD5,78,78,0%,2021
2021-06-01,LARGE BUSINESS,Cust10259,INDIA,PD5,352.8756,436,19%,2021
2021-06-01,SMALL BUSINESS,Cust10259,INDIA,PD1,19.13832,19,0%,2021
2021-07-01,Medium Business,Cust1029,APJ,PD5,89.98,90,0%,2021
2021-07-01,SMALL BUSINESS,Cust1029,APJ,PD1,57,70,18%,2021
2021-04-01,Medium Business,Cust10295,INDIA,PD3,140,194,28%,2021
2021-07-01,LARGE BUSINESS,Cust10295,INDIA,PD5,58.81032,59,0%,2021
2021-06-01,LARGE BUSINESS,Cust10321,APJ,PD1,324.87,325,0%,2021
2021-06-01,Medium Business,Cust10321,APJ,PD4,165.75,193,14%,2021
2021-01-01,LARGE BUSINESS,Cust10332,NA,PD1,422,485,13%,2021
2021-01-01,Medium Business,Cust10332,NA,PD4,300,370,19%,2021
2021-09-01,SMALL BUSINESS,Cust10339,EU,PD4,22.14,22,0%,2021
2022-02-01,Medium Business,Cust10339,EU,PD1,284,364,22%,2022
2022-02-01,SMALL BUSINESS,Cust1034,EU,PD5,20.52,29,29%,2022
2022-02-01,SMALL BUSINESS,Cust1034,EU,PD1,18,21,14%,2022
2021-12-01,Medium Business,Cust10362,NA,PD6,1335,1335,0%,2021
2021-12-01,LARGE BUSINESS,Cust10362,NA,PD1,495,1010,51%,2021
2021-02-01,LARGE BUSINESS,Cust10368,EU,PD1,433.944,434,0%,2021
2021-05-01,SMALL BUSINESS,Cust10368,EU,PD6,70.11,80,12%,2021
2021-06-01,LARGE BUSINESS,Cust104,NA,PD1,9730,9730,0%,2021
2021-06-01,LARGE BUSINESS,Cust104,NA,PD4,8750,8750,0%,2021
2022-01-01,Medium Business,Cust10411,EU,PD4,78,78,0%,2022
2022-01-01,Medium Business,Cust10411,EU,PD1,49,58,16%,2022
2021-04-01,Medium Business,Cust10412,EU,PD7,39,48,19%,2021
2021-07-01,SMALL BUSINESS,Cust10412,EU,PD7,19,25,23%,2021
2021-02-01,SMALL BUSINESS,Cust1042,NA,PD1,60.805984,72,16%,2021
2021-02-01,Medium Business,Cust1042,NA,PD5,28.8636,40,28%,2021
2021-12-01,Medium Business,Cust10433,UK,PD1,171.36,232,26%,2021
2021-12-01,Medium Business,Cust10433,UK,PD4,70.992,80,11%,2021
2021-09-01,SMALL BUSINESS,Cust10453,NA,PD1,54,63,14%,2021
2021-09-01,SMALL BUSINESS,Cust10453,NA,PD5,36,36,0%,2021
2021-07-01,Medium Business,Cust10461,NA,PD1,90,101,11%,2021
2021-10-01,Medium Business,Cust10461,NA,PD1,90,122,26%,2021
2021-05-01,SMALL BUSINESS,Cust10475,NA,PD5,19,45,58%,2021
2021-05-01,SMALL BUSINESS,Cust10475,NA,PD1,19,21,11%,2021
2021-03-01,LARGE BUSINESS,Cust10501,NA,PD1,125,174,28%,2021
2021-03-01,LARGE BUSINESS,Cust10501,NA,PD5,78,110,29%,2021
2021-11-01,LARGE BUSINESS,Cust10502,APJ,PD4,1232,1449,15%,2021
2021-11-01,Medium Business,Cust10502,APJ,PD1,826,918,10%,2021
2021-04-01,SMALL BUSINESS,Cust10519,OTHERS,PD2,75,87,14%,2021
2022-03-01,SMALL BUSINESS,Cust10519,MEA,PD2,75,95,21%,2022
2021-05-01,Medium Business,Cust10540,MEA,PD1,180,180,0%,2021
2021-11-01,SMALL BUSINESS,Cust10540,MEA,PD1,45,60,25%,2021
2021-08-01,SMALL BUSINESS,Cust10556,EU,PD1,108,230,53%,2021
2021-08-01,SMALL BUSINESS,Cust10556,EU,PD4,72,72,0%,2021
2021-03-01,SMALL BUSINESS,Cust10572,NA,PD1,64.6,73,12%,2021
2022-02-01,SMALL BUSINESS,Cust10572,NA,PD1,96.9,118,18%,2022
2021-01-01,Medium Business,Cust10587,EU,PD7,39,49,21%,2021
2021-07-01,Medium Business,Cust10587,EU,PD7,39,50,22%,2021
2021-09-01,Medium Business,Cust10609,MEA,PD5,246.75,649,62%,2021
2021-09-01,SMALL BUSINESS,Cust10609,MEA,PD1,135,135,0%,2021
2022-01-01,LARGE BUSINESS,Cust10651,EU,PD4,332,332,0%,2022
2022-01-01,Medium Business,Cust10651,EU,PD1,213,273,22%,2022
2021-09-01,Medium Business,Cust10658,NA,PD6,2010,2680,25%,2021
2021-09-01,SMALL BUSINESS,Cust10658,NA,PD5,130.01,165,21%,2021
2021-05-01,Medium Business,Cust1066,MEA,PD1,162,186,13%,2021
2021-05-01,Medium Business,Cust1066,MEA,PD5,140.4,140,0%,2021
2021-01-01,SMALL BUSINESS,Cust10683,EU,PD1,57,80,29%,2021
2021-09-01,SMALL BUSINESS,Cust10683,EU,PD5,88.56,89,0%,2021
2021-11-01,SMALL BUSINESS,Cust10683,EU,PD5,44.28,51,14%,2021
2021-03-01,LARGE BUSINESS,Cust10716,MEA,PD5,173,222,22%,2021
2021-03-01,SMALL BUSINESS,Cust10716,MEA,PD9,85,96,11%,2021
2021-06-01,SMALL BUSINESS,Cust10718,APJ,PD1,60,81,26%,2021
2021-06-01,SMALL BUSINESS,Cust10718,APJ,PD5,60,60,0%,2021
2021-10-01,Medium Business,Cust10725,MEA,PD5,517,517,0%,2021
2021-10-01,Medium Business,Cust10725,MEA,PD1,118,166,29%,2021
2021-02-01,LARGE BUSINESS,Cust10733,INDIA,PD5,319.6,457,30%,2021
2021-02-01,LARGE BUSINESS,Cust10733,INDIA,PD7,200.6,239,16%,2021
2022-03-01,LARGE BUSINESS,Cust10734,MEA,PD4,983.25,1347,27%,2022
2022-03-01,Medium Business,Cust10734,MEA,PD1,442.5,443,0%,2022
2021-10-01,SMALL BUSINESS,Cust10768,INDIA,PD1,65.63664,76,14%,2021
2021-10-01,SMALL BUSINESS,Cust10768,INDIA,PD4,49.20696,58,15%,2021
2021-03-01,SMALL BUSINESS,Cust10796,NA,PD1,15,21,30%,2021
2022-02-01,SMALL BUSINESS,Cust10796,NA,PD1,15,17,11%,2022
2021-09-01,SMALL BUSINESS,Cust10805,UK,PD4,40.8,57,29%,2021
2021-09-01,SMALL BUSINESS,Cust10805,UK,PD1,40.8,50,19%,2021
2021-01-01,Medium Business,Cust10842,NA,PD1,252,360,30%,2021
2021-01-01,Medium Business,Cust10842,NA,PD4,236,278,15%,2021
2021-09-01,LARGE BUSINESS,Cust10845,INDIA,PD1,346.49,866,60%,2021
2021-09-01,Medium Business,Cust10845,INDIA,PD5,62.99,75,16%,2021
2021-09-01,Medium Business,Cust10845,INDIA,PD7,62.99,63,0%,2021
2021-06-01,SMALL BUSINESS,Cust10977,EU,PD1,163.59,230,29%,2021
2021-06-01,Medium Business,Cust10977,EU,PD7,95.94,228,58%,2021
2022-01-01,SMALL BUSINESS,Cust11010,NA,PD4,252,319,21%,2022
2022-01-01,Medium Business,Cust11010,NA,PD4,99,99,0%,2022
2021-01-01,SMALL BUSINESS,Cust11013,NA,PD5,95,123,23%,2021
2021-06-01,SMALL BUSINESS,Cust11013,NA,PD5,95,112,15%,2021
2021-11-01,SMALL BUSINESS,Cust11013,NA,PD5,152,200,24%,2021
2021-03-01,LARGE BUSINESS,Cust11057,NA,PD6,10550.16,14452,27%,2021
2021-03-01,LARGE BUSINESS,Cust11057,NA,PD5,1702.92,2365,28%,2021
2021-03-01,LARGE BUSINESS,Cust1106,NA,PD1,207.72,233,11%,2021
2021-03-01,Medium Business,Cust1106,NA,PD4,150.3,190,21%,2021
2021-01-01,Medium Business,Cust11063,NA,PD1,112,132,15%,2021
2021-01-01,Medium Business,Cust11063,NA,PD4,110.4,147,25%,2021
2021-02-01,LARGE BUSINESS,Cust11066,NA,PD1,49,49,0%,2021
2021-07-01,SMALL BUSINESS,Cust11066,NA,PD1,45,51,11%,2021
2021-09-01,LARGE BUSINESS,Cust11099,NA,PD6,99,139,29%,2021
2022-01-01,LARGE BUSINESS,Cust11099,NA,PD5,78,78,0%,2022
2021-12-01,Medium Business,Cust11103,INDIA,PD1,141.144768,191,26%,2021
2021-12-01,SMALL BUSINESS,Cust11103,INDIA,PD4,38.94696,46,15%,2021
2021-08-01,LARGE BUSINESS,Cust11118,NA,PD1,476,595,20%,2021
2022-03-01,LARGE BUSINESS,Cust11118,NA,PD1,238,326,27%,2022
2021-12-01,Medium Business,Cust11122,INDIA,PD1,56.8,64,11%,2021
2021-12-01,Medium Business,Cust11122,INDIA,PD4,37.6,80,53%,2021
2022-03-01,LARGE BUSINESS,Cust11153,APJ,PD1,95,117,19%,2022
2022-03-01,Medium Business,Cust11153,APJ,PD5,87.6942,99,11%,2022
2021-11-01,SMALL BUSINESS,Cust11198,NA,PD1,54,54,0%,2021
2021-11-01,SMALL BUSINESS,Cust11198,NA,PD7,36,50,28%,2021
2021-04-01,LARGE BUSINESS,Cust11208,MEA,PD1,300,370,19%,2021
2021-04-01,LARGE BUSINESS,Cust11208,MEA,PD5,160,190,16%,2021
2021-02-01,LARGE BUSINESS,Cust11309,UK,PD5,241.08,294,18%,2021
2021-09-01,SMALL BUSINESS,Cust11309,UK,PD6,122.4,136,10%,2021
2021-04-01,SMALL BUSINESS,Cust11326,NA,PD6,141.6,167,15%,2021
2021-04-01,Medium Business,Cust11326,NA,PD5,80.2,111,28%,2021
2022-01-01,Medium Business,Cust1133,INDIA,PD5,43.8471,53,17%,2022
2022-01-01,SMALL BUSINESS,Cust1133,INDIA,PD1,15.4671,21,27%,2022
2021-02-01,LARGE BUSINESS,Cust11337,NA,PD5,93.638329,128,27%,2021
2021-02-01,SMALL BUSINESS,Cust11337,NA,PD9,75,101,26%,2021
2021-02-01,LARGE BUSINESS,Cust11337,NA,PD1,52.9526795,61,13%,2021
2021-05-01,LARGE BUSINESS,Cust1136,MEA,PD5,221.25,254,13%,2021
2022-02-01,LARGE BUSINESS,Cust1136,MEA,PD5,177,199,11%,2022
2021-07-01,LARGE BUSINESS,Cust11383,MEA,PD1,69,69,0%,2021
2022-03-01,LARGE BUSINESS,Cust11383,MEA,PD1,69,88,22%,2022
2021-04-01,SMALL BUSINESS,Cust11408,NA,PD1,57,57,0%,2021
2021-04-01,SMALL BUSINESS,Cust11408,NA,PD4,35,44,20%,2021
2021-11-01,SMALL BUSINESS,Cust11419,EU,PD1,36,42,14%,2021
2022-03-01,SMALL BUSINESS,Cust11419,EU,PD1,36,40,10%,2022
2021-09-01,SMALL BUSINESS,Cust11422,EU,PD1,140,171,18%,2021
2021-12-01,SMALL BUSINESS,Cust11422,EU,PD1,140,140,0%,2021
2021-04-01,SMALL BUSINESS,Cust11447,NA,PD4,105,117,10%,2021
2021-11-01,SMALL BUSINESS,Cust11447,NA,PD4,105,148,29%,2021
2021-07-01,LARGE BUSINESS,Cust11473,MEA,PD1,297,413,28%,2021
2021-07-01,Medium Business,Cust11473,MEA,PD4,255,554,54%,2021
2021-04-01,Medium Business,Cust11478,INDIA,PD5,54.69264,77,29%,2021
2021-04-01,SMALL BUSINESS,Cust11478,INDIA,PD1,40.99896,50,18%,2021
2021-05-01,Medium Business,Cust11480,APJ,PD1,90,90,0%,2021
2021-10-01,LARGE BUSINESS,Cust11480,APJ,PD1,138,153,10%,2021
2022-01-01,Medium Business,Cust11537,NA,PD6,1133.6,1134,0%,2022
2022-01-01,Medium Business,Cust11537,NA,PD4,152.75,198,23%,2022
2021-06-01,Medium Business,Cust11550,MEA,PD2,160,208,23%,2021
2021-06-01,Medium Business,Cust11550,MEA,PD6,75.65,104,27%,2021
2021-04-01,LARGE BUSINESS,Cust11573,EU,PD1,345,401,14%,2021
2021-04-01,LARGE BUSINESS,Cust11573,EU,PD5,95.94,213,55%,2021
2021-04-01,SMALL BUSINESS,Cust11576,NA,PD7,285,370,23%,2021
2021-06-01,SMALL BUSINESS,Cust11576,NA,PD7,19,38,50%,2021
2022-01-01,Medium Business,Cust11578,EU,PD4,666.9,667,0%,2022
2022-01-01,Medium Business,Cust11578,EU,PD1,308.7,359,14%,2022
2021-01-01,SMALL BUSINESS,Cust11589,OTHERS,PD2,75,150,50%,2021
2021-04-01,SMALL BUSINESS,Cust11589,OTHERS,PD2,75,75,0%,2021
2021-09-01,SMALL BUSINESS,Cust11589,NA,PD2,75,107,30%,2021
2021-04-01,LARGE BUSINESS,Cust116,APJ,PD1,169,214,21%,2021
2021-04-01,LARGE BUSINESS,Cust116,APJ,PD5,135.72,194,30%,2021
2021-04-01,LARGE BUSINESS,Cust116,APJ,PD7,113.1,155,27%,2021
2021-07-01,LARGE BUSINESS,Cust1161,INDIA,PD5,372.00024,443,16%,2021
2022-01-01,LARGE BUSINESS,Cust1161,INDIA,PD5,277.2855,277,0%,2022
2021-04-01,Medium Business,Cust11635,NA,PD7,78,94,17%,2021
2021-08-01,Medium Business,Cust11635,NA,PD7,78,107,27%,2021
2021-03-01,Medium Business,Cust1166,EU,PD1,73.8,151,51%,2021
2021-03-01,SMALL BUSINESS,Cust1166,EU,PD4,61.5,79,22%,2021
2021-07-01,SMALL BUSINESS,Cust11663,INDIA,PD5,114.82992,149,23%,2021
2022-03-01,Medium Business,Cust11663,INDIA,PD5,47,57,17%,2022
2021-04-01,Medium Business,Cust11665,NA,PD7,78,78,0%,2021
2021-04-01,SMALL BUSINESS,Cust11665,NA,PD1,38,43,12%,2021
2021-02-01,Medium Business,Cust11700,NA,PD4,187,187,0%,2021
2021-02-01,LARGE BUSINESS,Cust11700,NA,PD1,138,175,21%,2021
2021-12-01,Medium Business,Cust11750,NA,PD1,294,327,10%,2021
2021-12-01,Medium Business,Cust11750,NA,PD5,234,234,0%,2021
2021-05-01,LARGE BUSINESS,Cust11765,OTHERS,PD1,139,176,21%,2021
2021-08-01,SMALL BUSINESS,Cust11765,MEA,PD1,54,70,23%,2021
2022-03-01,LARGE BUSINESS,Cust11798,NA,PD1,1185,1317,10%,2022
2022-03-01,LARGE BUSINESS,Cust11798,NA,PD4,483,555,13%,2022
2021-07-01,SMALL BUSINESS,Cust11828,INDIA,PD5,38.27664,38,0%,2021
2021-07-01,SMALL BUSINESS,Cust11828,INDIA,PD1,19,27,29%,2021
2021-01-01,SMALL BUSINESS,Cust11843,NA,PD1,145,207,30%,2021
2022-03-01,SMALL BUSINESS,Cust11843,NA,PD1,45,50,10%,2022
2021-02-01,Medium Business,Cust1189,OTHERS,PD8,36,95,62%,2021
2022-03-01,Medium Business,Cust1189,APJ,PD8,36,43,17%,2022
2021-01-01,LARGE BUSINESS,Cust11895,NA,PD1,834,1738,52%,2021
2021-01-01,SMALL BUSINESS,Cust11895,NA,PD9,50,65,23%,2021
2021-01-01,LARGE BUSINESS,Cust11903,EU,PD7,118,133,11%,2021
2021-01-01,Medium Business,Cust11903,EU,PD3,105,142,26%,2021
2022-01-01,Medium Business,Cust11918,UK,PD6,1859.987,5167,64%,2022
2022-01-01,Medium Business,Cust11918,UK,PD5,337.68,338,0%,2022
2021-09-01,LARGE BUSINESS,Cust11936,MEA,PD1,425.01,582,27%,2021
2021-09-01,Medium Business,Cust11936,MEA,PD4,210,292,28%,2021
2021-03-01,SMALL BUSINESS,Cust1194,EU,PD1,95,128,26%,2021
2022-02-01,Medium Business,Cust1194,EU,PD5,47,47,0%,2022
2021-02-01,SMALL BUSINESS,Cust11940,INDIA,PD5,213.32592,474,55%,2021
2022-01-01,SMALL BUSINESS,Cust11940,INDIA,PD5,257.9484,311,17%,2022
2021-04-01,SMALL BUSINESS,Cust11947,NA,PD2,75,107,30%,2021
2021-06-01,SMALL BUSINESS,Cust11947,OTHERS,PD2,67.10787,75,11%,2021
2021-10-01,Medium Business,Cust11988,MEA,PD6,1599.98,2133,25%,2021
2021-10-01,Medium Business,Cust11988,MEA,PD5,150,185,19%,2021
2021-12-01,Medium Business,Cust12001,APJ,PD6,109,136,20%,2021
2021-12-01,Medium Business,Cust12001,APJ,PD5,47,57,18%,2021
2021-01-01,LARGE BUSINESS,Cust12019,INDIA,PD1,426.3,576,26%,2021
2021-01-01,LARGE BUSINESS,Cust12019,INDIA,PD5,76.95,92,16%,2021
2021-07-01,SMALL BUSINESS,Cust1202,APJ,PD4,76.44,182,58%,2021
2021-07-01,SMALL BUSINESS,Cust1202,APJ,PD2,75,84,11%,2021
2022-01-01,Medium Business,Cust1202,APJ,PD2,186.2,212,12%,2022
2022-01-01,Medium Business,Cust1202,APJ,PD4,141.12,141,0%,2022
2021-02-01,SMALL BUSINESS,Cust12023,NA,PD1,198,254,22%,2021
2021-08-01,SMALL BUSINESS,Cust12023,NA,PD1,105,121,13%,2021
2021-04-01,LARGE BUSINESS,Cust1205,MEA,PD1,396.98262,845,53%,2021
2022-01-01,Medium Business,Cust1205,MEA,PD1,284,334,15%,2022
2021-06-01,LARGE BUSINESS,Cust12055,NA,PD1,117.3,132,11%,2021
2021-06-01,SMALL BUSINESS,Cust12055,NA,PD5,32.3,38,14%,2021
2021-06-01,SMALL BUSINESS,Cust12055,NA,PD7,32.3,32,0%,2021
2021-02-01,LARGE BUSINESS,Cust12071,APJ,PD6,15713.0922,15713,0%,2021
2021-02-01,Medium Business,Cust12071,APJ,PD1,38.22,53,28%,2021
2021-05-01,LARGE BUSINESS,Cust12091,INDIA,PD5,58.81032,66,11%,2021
2022-01-01,LARGE BUSINESS,Cust12091,INDIA,PD1,322.4355,403,20%,2022
2022-01-01,LARGE BUSINESS,Cust12091,INDIA,PD5,55.4571,55,0%,2022
2021-07-01,Medium Business,Cust12156,EU,PD1,271.215,377,28%,2021
2021-07-01,SMALL BUSINESS,Cust12156,EU,PD4,160.515,198,19%,2021
2021-07-01,SMALL BUSINESS,Cust12156,EU,PD2,51.66,65,20%,2021
2021-07-01,Medium Business,Cust12170,APJ,PD1,135,161,16%,2021
2021-07-01,Medium Business,Cust12170,APJ,PD7,117,117,0%,2021
2021-10-01,SMALL BUSINESS,Cust12211,INDIA,PD1,16.40232,21,22%,2021
2022-01-01,SMALL BUSINESS,Cust12211,INDIA,PD1,15.4671,21,28%,2022
2021-08-01,SMALL BUSINESS,Cust12226,APJ,PD4,23.4,30,23%,2021
2021-08-01,SMALL BUSINESS,Cust12226,APJ,PD7,18,18,0%,2021
2021-03-01,SMALL BUSINESS,Cust12246,NA,PD1,57,63,10%,2021
2021-06-01,SMALL BUSINESS,Cust12246,NA,PD1,57,75,24%,2021
2021-12-01,SMALL BUSINESS,Cust12246,NA,PD1,57,77,26%,2021
2021-02-01,SMALL BUSINESS,Cust12247,NA,PD1,114,114,0%,2021
2021-09-01,SMALL BUSINESS,Cust12247,NA,PD1,114,285,60%,2021
2021-12-01,LARGE BUSINESS,Cust12256,APJ,PD6,2115.75,2678,21%,2021
2021-12-01,Medium Business,Cust12256,APJ,PD5,78,93,16%,2021
2021-02-01,SMALL BUSINESS,Cust12268,NA,PD3,19,24,22%,2021
2021-10-01,SMALL BUSINESS,Cust12268,NA,PD3,19,25,23%,2021
2021-12-01,Medium Business,Cust1232,EU,PD1,355,408,13%,2021
2021-12-01,SMALL BUSINESS,Cust1232,EU,PD1,44.28,98,55%,2021
2021-01-01,SMALL BUSINESS,Cust12326,EU,PD1,40.8,58,30%,2021
2021-01-01,SMALL BUSINESS,Cust12326,EU,PD7,40.8,54,25%,2021
2021-12-01,LARGE BUSINESS,Cust12339,NA,PD4,1830.5,4068,55%,2021
2021-12-01,Medium Business,Cust12339,NA,PD1,1652,1944,15%,2021
2021-04-01,SMALL BUSINESS,Cust12358,NA,PD8,14,19,25%,2021
2021-09-01,SMALL BUSINESS,Cust12358,EU,PD8,14,17,18%,2021
2021-02-01,SMALL BUSINESS,Cust12372,UK,PD4,68,68,0%,2021
2021-02-01,SMALL BUSINESS,Cust12372,UK,PD1,29.92,41,27%,2021
2021-06-01,SMALL BUSINESS,Cust1240,NA,PD1,19,19,0%,2021
2021-10-01,SMALL BUSINESS,Cust1240,NA,PD1,19,22,15%,2021
2022-03-01,SMALL BUSINESS,Cust1240,NA,PD1,19,19,0%,2022
2022-03-01,Medium Business,Cust12410,INDIA,PD4,225.6597,226,0%,2022
2022-03-01,SMALL BUSINESS,Cust12410,INDIA,PD1,78.5,90,13%,2022
2021-07-01,SMALL BUSINESS,Cust12476,INDIA,PD5,19.13832,52,63%,2021
2022-02-01,Medium Business,Cust12476,INDIA,PD2,146.558577,172,15%,2022
2021-03-01,SMALL BUSINESS,Cust12485,INDIA,PD5,13.66632,17,21%,2021
2021-10-01,SMALL BUSINESS,Cust12485,INDIA,PD5,16.40232,19,12%,2021
2021-05-01,LARGE BUSINESS,Cust12503,NA,PD5,373,1008,63%,2021
2021-05-01,LARGE BUSINESS,Cust12503,NA,PD1,294,368,20%,2021
2021-01-01,Medium Business,Cust12540,INDIA,PD5,220.596156,298,26%,2021
2021-01-01,Medium Business,Cust12540,INDIA,PD1,115.082316,153,25%,2021
2021-11-01,Medium Business,Cust12572,MEA,PD1,63.9,149,57%,2021
2021-11-01,Medium Business,Cust12572,MEA,PD4,42.3,52,19%,2021
2021-01-01,SMALL BUSINESS,Cust12581,NA,PD1,76,173,56%,2021
2021-01-01,Medium Business,Cust12581,NA,PD7,39,50,22%,2021
2021-06-01,Medium Business,Cust126,EU,PD5,39,39,0%,2021
2021-10-01,Medium Business,Cust126,EU,PD5,47,47,0%,2021
2021-11-01,Medium Business,Cust12606,NA,PD5,47,112,58%,2021
2021-11-01,SMALL BUSINESS,Cust12606,NA,PD1,18,18,0%,2021
2021-04-01,LARGE BUSINESS,Cust12624,APJ,PD1,264.42,264,0%,2021
2021-07-01,Medium Business,Cust12624,APJ,PD1,184.86,212,13%,2021
2021-02-01,LARGE BUSINESS,Cust12627,APJ,PD1,49,49,0%,2021
2021-02-01,LARGE BUSINESS,Cust12627,APJ,PD5,45,62,27%,2021
2021-07-01,Medium Business,Cust12637,MEA,PD4,174,229,24%,2021
2021-07-01,SMALL BUSINESS,Cust12637,MEA,PD1,19,24,21%,2021
2021-09-01,Medium Business,Cust12648,NA,PD6,2709.22,2709,0%,2021
2021-09-01,Medium Business,Cust12648,NA,PD7,583.73,1191,51%,2021
2021-09-01,Medium Business,Cust12648,NA,PD5,583.73,656,11%,2021
2021-08-01,Medium Business,Cust12654,APJ,PD4,51.48,126,59%,2021
2022-01-01,LARGE BUSINESS,Cust12654,APJ,PD1,207,259,20%,2022
2021-11-01,SMALL BUSINESS,Cust12725,NA,PD4,18,21,13%,2021
2022-01-01,SMALL BUSINESS,Cust12725,NA,PD4,18,46,61%,2022
2022-03-01,Medium Business,Cust12728,NA,PD1,142,197,28%,2022
2022-03-01,SMALL BUSINESS,Cust12728,NA,PD1,108,152,29%,2022
2021-02-01,Medium Business,Cust12729,NA,PD5,106,141,25%,2021
2021-02-01,SMALL BUSINESS,Cust12729,NA,PD1,85.5,113,24%,2021
2021-08-01,Medium Business,Cust12750,EU,PD1,98,113,13%,2021
2022-01-01,Medium Business,Cust12750,EU,PD1,98,115,15%,2022
2021-03-01,SMALL BUSINESS,Cust12792,NA,PD7,15,19,21%,2021
2021-03-01,SMALL BUSINESS,Cust12792,NA,PD1,15,19,21%,2021
2022-03-01,Medium Business,Cust12823,APJ,PD4,669.75,881,24%,2022
2022-03-01,Medium Business,Cust12823,APJ,PD1,213,273,22%,2022
2021-02-01,SMALL BUSINESS,Cust12848,UK,PD1,19.13832,25,24%,2021
2021-02-01,SMALL BUSINESS,Cust12848,UK,PD7,19.13832,19,0%,2021
2021-06-01,LARGE BUSINESS,Cust12852,EU,PD4,125,154,19%,2021
2021-06-01,SMALL BUSINESS,Cust12852,EU,PD4,20.3,20,0%,2021
2021-09-01,SMALL BUSINESS,Cust12859,APJ,PD4,16.40232,18,11%,2021
